client_id,account_id,district_id,birthday,gender,dem_name,dem_region
52,44,32,241212,m,Ceska Lipa,north Bohemia
53,45,64,770505,m,Zlin,south Moravia
55,47,45,480918,f,Jicin,east Bohemia
56,48,21,600331,m,Tabor,south Bohemia
58,49,1,270429,f,Hl.m. Praha,Prague
59,50,1,570218,m,Hl.m. Praha,Prague
60,51,67,800219,m,Bruntal,north Moravia
61,52,16,480806,f,Jindrichuv Hradec,south Bohemia
62,53,77,321208,m,Vsetin,north Moravia
63,54,4,590604,m,Kladno,central Bohemia
64,55,20,260422,m,Strakonice,south Bohemia
65,56,50,430527,f,Svitavy,east Bohemia
66,57,1,511110,f,Hl.m. Praha,Prague
67,58,29,321111,f,Rokycany,west Bohemia
68,59,43,461214,m,Hradec Kralove,east Bohemia
70,61,70,251222,m,Karvina,north Moravia
72,62,47,230113,m,Pardubice,east Bohemia
73,63,22,240220,m,Domazlice,west Bohemia
75,64,64,770919,f,Zlin,south Moravia
76,65,36,671001,f,Liberec,north Bohemia
77,66,48,560218,f,Rychnov nad Kneznou,east Bohemia
78,67,16,440613,f,Jindrichuv Hradec,south Bohemia
79,68,37,690310,f,Litomerice,north Bohemia
80,69,64,790225,f,Zlin,south Moravia
81,70,8,760429,m,Mlada Boleslav,central Bohemia
83,71,1,781225,f,Hl.m. Praha,Prague
85,72,1,610827,m,Hl.m. Praha,Prague
87,73,72,461117,f,Olomouc,north Moravia
89,75,1,510505,f,Hl.m. Praha,Prague
90,76,52,750817,m,Usti nad Orlici,east Bohemia
91,77,63,400807,m,Vyskov,south Moravia
92,78,74,660612,f,Ostrava - mesto,north Moravia
93,79,3,250216,m,Beroun,central Bohemia
94,80,43,470909,m,Hradec Kralove,east Bohemia
96,81,74,720229,m,Ostrava - mesto,north Moravia
97,82,26,651128,m,Plzen - mesto,west Bohemia
98,83,26,730504,f,Plzen - mesto,west Bohemia
100,84,44,420811,f,Chrudim,east Bohemia
101,85,68,430123,m,Frydek - Mistek,north Moravia
102,86,54,580910,f,Brno - mesto,south Moravia
105,88,31,800526,m,Tachov,west Bohemia
106,89,68,681230,f,Frydek - Mistek,north Moravia
107,90,1,720623,m,Hl.m. Praha,Prague
108,91,17,630913,m,Pelhrimov,south Bohemia
110,93,2,670413,f,Benesov,central Bohemia
112,95,1,350125,m,Hl.m. Praha,Prague
114,96,68,690624,f,Frydek - Mistek,north Moravia
116,97,74,420128,m,Ostrava - mesto,north Moravia
118,98,55,220719,m,Brno - venkov,south Moravia
120,99,1,760510,m,Hl.m. Praha,Prague
121,100,41,781029,f,Usti nad Labem,north Bohemia
122,101,35,631113,f,Jablonec n. Nisou,north Bohemia
123,102,11,690212,m,Praha - zapad,central Bohemia
124,103,44,670921,m,Chrudim,east Bohemia
125,104,37,361031,m,Litomerice,north Bohemia
127,105,21,501227,f,Tabor,south Bohemia
128,106,63,730404,f,Vyskov,south Moravia
129,107,64,470531,f,Zlin,south Moravia
130,108,53,420214,m,Blansko,south Moravia
131,109,53,770131,f,Blansko,south Moravia
132,110,36,530126,m,Liberec,north Bohemia
134,112,6,320118,m,Kutna Hora,central Bohemia
136,113,55,210126,f,Brno - venkov,south Moravia
137,114,60,230914,m,Prostejov,south Moravia
138,115,68,721021,f,Frydek - Mistek,north Moravia
139,116,8,590725,f,Mlada Boleslav,central Bohemia
141,117,31,251102,m,Tachov,west Bohemia
142,118,68,370621,m,Frydek - Mistek,north Moravia
143,119,27,780709,m,Plzen - jih,west Bohemia
144,120,65,581206,m,Znojmo,south Moravia
145,121,55,780214,m,Brno - venkov,south Moravia
146,122,31,611219,f,Tachov,west Bohemia
147,123,21,331102,f,Tabor,south Bohemia
149,124,55,480627,m,Brno - venkov,south Moravia
150,125,2,800927,f,Benesov,central Bohemia
151,126,5,710923,f,Kolin,central Bohemia
152,127,29,451202,f,Rokycany,west Bohemia
153,128,2,810212,f,Benesov,central Bohemia
154,129,74,330827,m,Ostrava - mesto,north Moravia
156,130,54,300722,f,Brno - mesto,south Moravia
157,131,52,430709,f,Usti nad Orlici,east Bohemia
158,132,40,450703,f,Teplice,north Bohemia
160,133,64,420426,f,Zlin,south Moravia
161,134,34,431007,f,Chomutov,north Bohemia
162,135,75,411017,m,Prerov,north Moravia
163,136,74,330612,m,Ostrava - mesto,north Moravia
164,137,70,620404,f,Karvina,north Moravia
165,138,22,681108,m,Domazlice,west Bohemia
167,139,38,780418,f,Louny,north Bohemia
168,140,24,761105,f,Karlovy Vary,west Bohemia
169,141,38,530912,m,Louny,north Bohemia
171,142,51,290625,m,Trutnov,east Bohemia
173,143,21,181208,f,Tabor,south Bohemia
174,144,10,781110,m,Praha - vychod,central Bohemia
175,145,31,600713,m,Tachov,west Bohemia
176,146,4,290311,m,Kladno,central Bohemia
178,148,8,601222,m,Mlada Boleslav,central Bohemia
179,149,43,801229,m,Hradec Kralove,east Bohemia
180,150,73,820119,m,Opava,north Moravia
181,151,76,670706,m,Sumperk,north Moravia
183,152,1,780319,f,Hl.m. Praha,Prague
185,153,77,540530,m,Vsetin,north Moravia
186,154,46,610222,f,Nachod,east Bohemia
187,155,58,420823,m,Jihlava,south Moravia
188,156,64,600902,m,Zlin,south Moravia
189,157,11,190810,m,Praha - zapad,central Bohemia
190,158,37,471031,f,Litomerice,north Bohemia
192,159,70,710228,m,Karvina,north Moravia
193,160,23,620501,m,Cheb,west Bohemia
194,161,28,241220,f,Plzen - sever,west Bohemia
195,162,60,191118,m,Prostejov,south Moravia
197,163,30,330425,m,Sokolov,west Bohemia
198,164,60,760714,m,Prostejov,south Moravia
199,165,25,230621,m,Klatovy,west Bohemia
201,166,17,300819,f,Pelhrimov,south Bohemia
202,167,29,761121,f,Rokycany,west Bohemia
203,168,31,620610,m,Tachov,west Bohemia
205,169,4,420615,f,Kladno,central Bohemia
206,170,59,630413,f,Kromeriz,south Moravia
207,171,46,320520,m,Nachod,east Bohemia
208,172,13,400625,f,Rakovnik,central Bohemia
210,173,66,391130,m,Zdar nad Sazavou,south Moravia
212,174,52,750210,m,Usti nad Orlici,east Bohemia
215,176,71,670924,m,Novy Jicin,north Moravia
216,177,1,600130,m,Hl.m. Praha,Prague
217,178,59,741222,f,Kromeriz,south Moravia
218,179,1,800123,f,Hl.m. Praha,Prague
219,180,55,640402,f,Brno - venkov,south Moravia
221,181,21,770225,f,Tabor,south Bohemia
222,182,47,720629,f,Pardubice,east Bohemia
223,183,43,520227,f,Hradec Kralove,east Bohemia
224,184,77,550511,m,Vsetin,north Moravia
225,185,32,360510,m,Ceska Lipa,north Bohemia
226,186,1,420616,m,Hl.m. Praha,Prague
227,187,5,261218,f,Kolin,central Bohemia
228,188,54,560316,f,Brno - mesto,south Moravia
229,189,76,690722,m,Sumperk,north Moravia
230,190,74,670310,f,Ostrava - mesto,north Moravia
231,191,41,410218,m,Usti nad Labem,north Bohemia
232,192,55,210617,f,Brno - venkov,south Moravia
233,193,69,581203,f,Jesenik,north Moravia
235,194,44,430828,f,Chrudim,east Bohemia
236,195,70,610901,m,Karvina,north Moravia
238,196,4,611128,f,Kladno,central Bohemia
239,197,1,740910,f,Hl.m. Praha,Prague
240,198,70,290617,f,Karvina,north Moravia
241,199,70,590123,m,Karvina,north Moravia
242,200,17,610801,f,Pelhrimov,south Bohemia
243,201,63,540210,m,Vyskov,south Moravia
246,204,67,701228,f,Bruntal,north Moravia
247,205,1,570508,m,Hl.m. Praha,Prague
248,206,61,691212,f,Trebic,south Moravia
250,207,2,791125,f,Benesov,central Bohemia
251,208,54,760303,f,Brno - mesto,south Moravia
252,209,37,690901,f,Litomerice,north Bohemia
253,210,48,470512,f,Rychnov nad Kneznou,east Bohemia
254,211,28,630530,m,Plzen - sever,west Bohemia
255,212,27,511011,f,Plzen - jih,west Bohemia
256,213,73,630227,f,Opava,north Moravia
257,214,22,421104,f,Domazlice,west Bohemia
259,215,31,660608,m,Tachov,west Bohemia
261,216,38,371207,f,Louny,north Bohemia
262,217,77,451125,m,Vsetin,north Moravia
263,218,68,620520,m,Frydek - Mistek,north Moravia
264,219,28,780822,m,Plzen - sever,west Bohemia
265,220,72,330107,f,Olomouc,north Moravia
266,221,19,670828,f,Prachatice,south Bohemia
267,222,37,670612,m,Litomerice,north Bohemia
268,223,39,820502,f,Most,north Bohemia
269,224,15,231203,f,Cesky Krumlov,south Bohemia
270,225,1,470308,m,Hl.m. Praha,Prague
272,226,70,441025,f,Karvina,north Moravia
273,227,27,720515,f,Plzen - jih,west Bohemia
274,228,5,701125,f,Kolin,central Bohemia
275,229,1,181112,f,Hl.m. Praha,Prague
276,230,1,570611,m,Hl.m. Praha,Prague
278,231,22,721227,f,Domazlice,west Bohemia
280,232,45,691218,f,Jicin,east Bohemia
282,234,73,380224,f,Opava,north Moravia
284,235,41,740806,m,Usti nad Labem,north Bohemia
285,236,72,540603,m,Olomouc,north Moravia
287,237,50,800909,m,Svitavy,east Bohemia
288,238,6,620421,m,Kutna Hora,central Bohemia
289,239,69,580327,m,Jesenik,north Moravia
290,240,72,590112,m,Olomouc,north Moravia
292,241,15,580906,f,Cesky Krumlov,south Bohemia
293,242,69,430927,m,Jesenik,north Moravia
294,243,55,680321,m,Brno - venkov,south Moravia
295,244,24,390327,m,Karlovy Vary,west Bohemia
296,245,65,740301,m,Znojmo,south Moravia
297,246,65,240315,f,Znojmo,south Moravia
300,248,1,570730,f,Hl.m. Praha,Prague
301,249,28,420110,m,Plzen - sever,west Bohemia
302,250,56,710223,m,Breclav,south Moravia
303,251,74,460506,m,Ostrava - mesto,north Moravia
304,252,19,340311,f,Prachatice,south Bohemia
305,253,46,380608,m,Nachod,east Bohemia
308,255,68,760612,f,Frydek - Mistek,north Moravia
309,256,37,691214,f,Litomerice,north Bohemia
310,257,11,500416,m,Praha - zapad,central Bohemia
311,258,64,300916,f,Zlin,south Moravia
312,259,2,240703,m,Benesov,central Bohemia
313,260,24,420511,f,Karlovy Vary,west Bohemia
315,261,54,670501,m,Brno - mesto,south Moravia
316,262,75,550428,m,Prerov,north Moravia
317,263,64,571006,f,Zlin,south Moravia
318,264,15,430402,f,Cesky Krumlov,south Bohemia
319,265,19,290404,f,Prachatice,south Bohemia
321,266,47,431024,f,Pardubice,east Bohemia
322,267,38,330201,m,Louny,north Bohemia
324,268,3,601203,m,Beroun,central Bohemia
325,269,3,600221,m,Beroun,central Bohemia
326,270,27,670918,f,Plzen - jih,west Bohemia
328,271,1,180124,f,Hl.m. Praha,Prague
329,272,11,641203,m,Praha - zapad,central Bohemia
330,273,24,440805,f,Karlovy Vary,west Bohemia
331,274,76,420302,m,Sumperk,north Moravia
332,275,29,780725,m,Rokycany,west Bohemia
333,276,38,711019,m,Louny,north Bohemia
334,277,32,691031,m,Ceska Lipa,north Bohemia
335,278,73,670722,f,Opava,north Moravia
336,279,39,640211,f,Most,north Bohemia
338,280,25,510619,f,Klatovy,west Bohemia
339,281,1,660730,m,Hl.m. Praha,Prague
341,282,69,770316,m,Jesenik,north Moravia
343,283,44,191119,m,Chrudim,east Bohemia
344,284,54,630716,f,Brno - mesto,south Moravia
345,285,17,531207,m,Pelhrimov,south Bohemia
347,286,71,591213,m,Novy Jicin,north Moravia
349,287,16,270527,f,Jindrichuv Hradec,south Bohemia
350,288,25,250402,f,Klatovy,west Bohemia
351,289,1,730501,m,Hl.m. Praha,Prague
352,290,56,400827,m,Breclav,south Moravia
353,291,7,651026,m,Melnik,central Bohemia
354,292,49,220427,f,Semily,east Bohemia
356,293,1,791207,f,Hl.m. Praha,Prague
358,294,7,590626,f,Melnik,central Bohemia
359,295,66,700216,m,Zdar nad Sazavou,south Moravia
360,296,49,430427,m,Semily,east Bohemia
361,297,74,770525,f,Ostrava - mesto,north Moravia
362,298,35,500427,f,Jablonec n. Nisou,north Bohemia
364,299,77,421205,f,Vsetin,north Moravia
365,300,1,300109,m,Hl.m. Praha,Prague
367,301,60,630903,f,Prostejov,south Moravia
369,302,7,301106,f,Melnik,central Bohemia
370,303,71,560105,f,Novy Jicin,north Moravia
371,304,4,420716,m,Kladno,central Bohemia
372,305,34,320403,m,Chomutov,north Bohemia
373,306,16,360228,m,Jindrichuv Hradec,south Bohemia
374,307,26,670614,m,Plzen - mesto,west Bohemia
375,308,61,690929,f,Trebic,south Moravia
376,309,14,730108,f,Ceske Budejovice,south Bohemia
378,311,50,780515,m,Svitavy,east Bohemia
380,312,41,730119,m,Usti nad Labem,north Bohemia
381,313,73,770126,f,Opava,north Moravia
383,314,15,390517,f,Cesky Krumlov,south Bohemia
385,315,45,480324,m,Jicin,east Bohemia
386,316,62,800821,m,Uherske Hradiste,south Moravia
387,317,76,270606,m,Sumperk,north Moravia
388,318,36,501030,f,Liberec,north Bohemia
389,319,47,740630,f,Pardubice,east Bohemia
390,320,47,770127,f,Pardubice,east Bohemia
391,321,47,330522,f,Pardubice,east Bohemia
392,322,1,500401,f,Hl.m. Praha,Prague
394,323,52,240518,f,Usti nad Orlici,east Bohemia
396,324,1,200502,m,Hl.m. Praha,Prague
397,325,75,300327,m,Prerov,north Moravia
398,326,61,250326,f,Trebic,south Moravia
399,327,54,520414,m,Brno - mesto,south Moravia
400,328,1,331227,m,Hl.m. Praha,Prague
402,329,3,431225,m,Beroun,central Bohemia
403,330,42,730526,f,Havlickuv Brod,east Bohemia
405,331,65,341019,f,Znojmo,south Moravia
406,332,36,770515,m,Liberec,north Bohemia
407,333,73,750527,f,Opava,north Moravia
408,334,1,780222,f,Hl.m. Praha,Prague
409,335,74,250618,m,Ostrava - mesto,north Moravia
410,336,62,621220,m,Uherske Hradiste,south Moravia
411,337,17,410414,f,Pelhrimov,south Bohemia
413,338,49,721118,f,Semily,east Bohemia
414,339,46,471019,f,Nachod,east Bohemia
416,340,1,321007,f,Hl.m. Praha,Prague
418,341,28,661013,m,Plzen - sever,west Bohemia
419,342,64,701007,f,Zlin,south Moravia
420,343,18,780313,m,Pisek,south Bohemia
421,344,54,650731,m,Brno - mesto,south Moravia
422,345,5,461207,m,Kolin,central Bohemia
423,346,37,570623,m,Litomerice,north Bohemia
424,347,65,471008,m,Znojmo,south Moravia
425,348,25,480212,m,Klatovy,west Bohemia
426,349,72,370601,m,Olomouc,north Moravia
428,350,47,191116,f,Pardubice,east Bohemia
429,351,50,810120,f,Svitavy,east Bohemia
430,352,39,200728,m,Most,north Bohemia
431,353,24,271001,f,Karlovy Vary,west Bohemia
432,354,59,520326,f,Kromeriz,south Moravia
433,355,62,550207,m,Uherske Hradiste,south Moravia
434,356,70,430130,f,Karvina,north Moravia
435,357,20,671023,m,Strakonice,south Bohemia
436,358,12,550615,m,Pribram,central Bohemia
437,359,11,200117,f,Praha - zapad,central Bohemia
438,360,32,380928,m,Ceska Lipa,north Bohemia
439,361,51,680912,f,Trutnov,east Bohemia
440,362,15,700707,f,Cesky Krumlov,south Bohemia
441,363,1,590914,m,Hl.m. Praha,Prague
442,364,1,711216,f,Hl.m. Praha,Prague
444,365,74,600801,f,Ostrava - mesto,north Moravia
445,366,1,470427,f,Hl.m. Praha,Prague
447,367,23,460904,m,Cheb,west Bohemia
448,368,77,700815,f,Vsetin,north Moravia
450,370,25,531127,m,Klatovy,west Bohemia
451,371,12,790414,m,Pribram,central Bohemia
452,372,55,531022,f,Brno - venkov,south Moravia
453,373,67,690716,m,Bruntal,north Moravia
454,374,38,490615,f,Louny,north Bohemia
455,375,68,200726,m,Frydek - Mistek,north Moravia
456,376,25,400228,m,Klatovy,west Bohemia
457,377,70,500926,m,Karvina,north Moravia
458,378,68,610724,m,Frydek - Mistek,north Moravia
459,379,32,670723,f,Ceska Lipa,north Bohemia
461,381,68,700813,f,Frydek - Mistek,north Moravia
462,382,14,701221,m,Ceske Budejovice,south Bohemia
463,383,38,440405,m,Louny,north Bohemia
464,384,24,590730,f,Karlovy Vary,west Bohemia
465,385,5,520901,m,Kolin,central Bohemia
466,386,1,471119,f,Hl.m. Praha,Prague
468,387,72,590427,m,Olomouc,north Moravia
469,388,59,701013,f,Kromeriz,south Moravia
470,389,30,540421,f,Sokolov,west Bohemia
471,390,44,770111,m,Chrudim,east Bohemia
472,391,36,811227,m,Liberec,north Bohemia
473,392,1,390925,f,Hl.m. Praha,Prague
474,393,46,490531,m,Nachod,east Bohemia
476,395,1,470601,f,Hl.m. Praha,Prague
478,396,21,780621,m,Tabor,south Bohemia
479,397,11,470820,m,Praha - zapad,central Bohemia
481,398,69,270122,m,Jesenik,north Moravia
483,399,1,440619,m,Hl.m. Praha,Prague
484,400,28,590913,f,Plzen - sever,west Bohemia
485,401,32,780516,m,Ceska Lipa,north Bohemia
486,402,68,440412,m,Frydek - Mistek,north Moravia
487,403,1,220401,f,Hl.m. Praha,Prague
489,404,41,401007,m,Usti nad Labem,north Bohemia
490,405,55,501023,m,Brno - venkov,south Moravia
491,406,63,660805,m,Vyskov,south Moravia
492,407,72,351026,m,Olomouc,north Moravia
493,408,41,420604,f,Usti nad Labem,north Bohemia
494,409,1,800519,m,Hl.m. Praha,Prague
495,410,49,370407,f,Semily,east Bohemia
496,411,70,510521,f,Karvina,north Moravia
497,412,74,530202,m,Ostrava - mesto,north Moravia
499,413,18,350708,f,Pisek,south Bohemia
500,414,1,710106,m,Hl.m. Praha,Prague
501,415,25,371028,m,Klatovy,west Bohemia
502,416,6,191208,m,Kutna Hora,central Bohemia
503,417,73,590724,m,Opava,north Moravia
504,418,36,790801,m,Liberec,north Bohemia
505,419,13,771221,m,Rakovnik,central Bohemia
506,420,75,460816,m,Prerov,north Moravia
507,421,75,541116,m,Prerov,north Moravia
508,422,53,710428,m,Blansko,south Moravia
509,423,12,800502,m,Pribram,central Bohemia
510,424,12,760415,m,Pribram,central Bohemia
511,425,9,590218,m,Nymburk,central Bohemia
512,426,1,650803,f,Hl.m. Praha,Prague
513,427,8,740111,f,Mlada Boleslav,central Bohemia
515,428,1,320526,m,Hl.m. Praha,Prague
517,429,63,650725,m,Vyskov,south Moravia
518,430,54,790428,f,Brno - mesto,south Moravia
519,431,18,800413,m,Pisek,south Bohemia
520,432,46,470927,f,Nachod,east Bohemia
521,433,20,751225,m,Strakonice,south Bohemia
522,434,1,560304,f,Hl.m. Praha,Prague
523,435,38,221217,m,Louny,north Bohemia
524,436,30,630102,f,Sokolov,west Bohemia
526,437,43,640201,m,Hradec Kralove,east Bohemia
528,438,37,770211,m,Litomerice,north Bohemia
529,439,69,781105,m,Jesenik,north Moravia
530,440,29,570927,f,Rokycany,west Bohemia
531,441,27,761004,m,Plzen - jih,west Bohemia
533,442,54,410519,f,Brno - mesto,south Moravia
534,443,64,570722,m,Zlin,south Moravia
535,444,26,370909,m,Plzen - mesto,west Bohemia
536,445,63,390825,m,Vyskov,south Moravia
537,446,50,350116,m,Svitavy,east Bohemia
538,447,5,480510,f,Kolin,central Bohemia
540,449,19,210728,m,Prachatice,south Bohemia
542,450,59,210209,f,Kromeriz,south Moravia
543,451,11,580415,f,Praha - zapad,central Bohemia
544,452,63,481116,m,Vyskov,south Moravia
545,453,75,731011,f,Prerov,north Moravia
546,454,7,530825,m,Melnik,central Bohemia
547,455,54,490331,m,Brno - mesto,south Moravia
548,456,49,371204,m,Semily,east Bohemia
550,458,7,611130,m,Melnik,central Bohemia
551,459,47,760705,f,Pardubice,east Bohemia
552,460,1,340508,f,Hl.m. Praha,Prague
554,461,30,250419,f,Sokolov,west Bohemia
556,462,29,460708,m,Rokycany,west Bohemia
557,463,51,390717,m,Trutnov,east Bohemia
558,464,43,200705,f,Hradec Kralove,east Bohemia
559,465,32,720905,f,Ceska Lipa,north Bohemia
560,466,71,671216,f,Novy Jicin,north Moravia
561,467,74,621110,f,Ostrava - mesto,north Moravia
562,468,49,750922,f,Semily,east Bohemia
563,469,72,610909,f,Olomouc,north Moravia
565,470,64,590703,f,Zlin,south Moravia
566,471,47,460305,f,Pardubice,east Bohemia
568,472,8,600719,f,Mlada Boleslav,central Bohemia
569,473,73,620615,m,Opava,north Moravia
570,474,61,410131,f,Trebic,south Moravia
571,475,3,240927,m,Beroun,central Bohemia
573,476,69,670810,m,Jesenik,north Moravia
574,477,1,721225,m,Hl.m. Praha,Prague
575,478,58,700404,m,Jihlava,south Moravia
577,479,1,631205,f,Hl.m. Praha,Prague
578,480,23,770707,f,Cheb,west Bohemia
579,481,72,330531,f,Olomouc,north Moravia
581,483,70,490204,f,Karvina,north Moravia
582,484,1,500926,m,Hl.m. Praha,Prague
583,485,6,650101,f,Kutna Hora,central Bohemia
584,486,33,760513,f,Decin,north Bohemia
585,487,40,420221,f,Teplice,north Bohemia
587,488,25,450708,f,Klatovy,west Bohemia
588,489,16,601020,f,Jindrichuv Hradec,south Bohemia
589,490,45,610917,m,Jicin,east Bohemia
590,491,44,490215,m,Chrudim,east Bohemia
591,492,5,741029,f,Kolin,central Bohemia
592,493,26,650718,m,Plzen - mesto,west Bohemia
593,494,60,540710,f,Prostejov,south Moravia
596,496,69,481024,m,Jesenik,north Moravia
597,497,55,430222,m,Brno - venkov,south Moravia
598,498,1,701231,m,Hl.m. Praha,Prague
601,500,56,660312,m,Breclav,south Moravia
603,501,13,660309,f,Rakovnik,central Bohemia
604,502,1,650731,f,Hl.m. Praha,Prague
605,503,1,700827,f,Hl.m. Praha,Prague
606,504,73,490125,f,Opava,north Moravia
607,505,64,640330,m,Zlin,south Moravia
608,506,67,720831,m,Bruntal,north Moravia
609,507,52,620902,m,Usti nad Orlici,east Bohemia
610,508,74,790810,f,Ostrava - mesto,north Moravia
611,509,36,521013,m,Liberec,north Bohemia
613,510,1,770810,f,Hl.m. Praha,Prague
614,511,14,470203,f,Ceske Budejovice,south Bohemia
615,512,68,490913,f,Frydek - Mistek,north Moravia
616,513,58,750101,m,Jihlava,south Moravia
617,514,70,740314,m,Karvina,north Moravia
618,515,57,320316,f,Hodonin,south Moravia
619,516,6,200907,m,Kutna Hora,central Bohemia
621,517,76,390317,m,Sumperk,north Moravia
622,518,74,311123,f,Ostrava - mesto,north Moravia
623,519,24,250904,m,Karlovy Vary,west Bohemia
625,520,60,781124,f,Prostejov,south Moravia
626,521,9,800413,m,Nymburk,central Bohemia
627,522,17,720411,m,Pelhrimov,south Bohemia
629,523,1,760310,m,Hl.m. Praha,Prague
630,524,61,520303,m,Trebic,south Moravia
631,525,70,560322,f,Karvina,north Moravia
632,526,67,460316,m,Bruntal,north Moravia
635,528,17,270629,f,Pelhrimov,south Bohemia
637,529,39,701215,f,Most,north Bohemia
638,530,54,610203,f,Brno - mesto,south Moravia
639,531,31,780802,m,Tachov,west Bohemia
640,532,26,790415,m,Plzen - mesto,west Bohemia
641,533,40,620704,f,Teplice,north Bohemia
643,534,1,490613,f,Hl.m. Praha,Prague
644,535,35,610423,f,Jablonec n. Nisou,north Bohemia
645,536,14,251221,m,Ceske Budejovice,south Bohemia
646,537,34,220929,f,Chomutov,north Bohemia
648,538,70,350928,f,Karvina,north Moravia
649,539,13,780502,f,Rakovnik,central Bohemia
651,540,75,760127,f,Prerov,north Moravia
652,541,61,381208,m,Trebic,south Moravia
653,542,1,301121,f,Hl.m. Praha,Prague
654,543,64,420517,f,Zlin,south Moravia
655,544,32,421210,m,Ceska Lipa,north Bohemia
656,545,54,560606,m,Brno - mesto,south Moravia
657,546,8,260710,f,Mlada Boleslav,central Bohemia
659,547,24,651207,m,Karlovy Vary,west Bohemia
660,548,16,230322,m,Jindrichuv Hradec,south Bohemia
662,549,5,450807,m,Kolin,central Bohemia
663,550,24,230120,m,Karlovy Vary,west Bohemia
664,551,77,800319,f,Vsetin,north Moravia
665,552,14,320405,f,Ceske Budejovice,south Bohemia
666,553,26,820523,m,Plzen - mesto,west Bohemia
667,554,26,810720,f,Plzen - mesto,west Bohemia
668,555,24,421225,f,Karlovy Vary,west Bohemia
669,556,12,561219,f,Pribram,central Bohemia
670,557,1,590121,m,Hl.m. Praha,Prague
671,558,10,710227,f,Praha - vychod,central Bohemia
672,559,46,291109,f,Nachod,east Bohemia
673,560,36,391029,m,Liberec,north Bohemia
674,561,11,270111,f,Praha - zapad,central Bohemia
675,562,50,751112,m,Svitavy,east Bohemia
676,563,53,530207,m,Blansko,south Moravia
677,564,5,630524,m,Kolin,central Bohemia
678,565,39,330528,f,Most,north Bohemia
679,566,8,400319,m,Mlada Boleslav,central Bohemia
681,567,15,770115,m,Cesky Krumlov,south Bohemia
682,568,18,791021,m,Pisek,south Bohemia
683,569,76,450829,f,Sumperk,north Moravia
684,570,3,760410,f,Beroun,central Bohemia
685,571,72,301213,f,Olomouc,north Moravia
686,572,32,711003,f,Ceska Lipa,north Bohemia
688,573,1,540504,m,Hl.m. Praha,Prague
689,574,70,640802,m,Karvina,north Moravia
690,575,38,421107,m,Louny,north Bohemia
692,576,55,360111,f,Brno - venkov,south Moravia
694,577,29,360228,m,Rokycany,west Bohemia
695,578,28,550627,m,Plzen - sever,west Bohemia
697,579,1,740501,m,Hl.m. Praha,Prague
698,580,75,540227,m,Prerov,north Moravia
699,581,26,220422,f,Plzen - mesto,west Bohemia
700,582,12,291120,m,Pribram,central Bohemia
702,584,31,681107,f,Tachov,west Bohemia
703,585,4,590426,m,Kladno,central Bohemia
704,586,54,750501,m,Brno - mesto,south Moravia
705,587,19,381210,m,Prachatice,south Bohemia
706,588,66,480805,m,Zdar nad Sazavou,south Moravia
707,589,1,411214,m,Hl.m. Praha,Prague
708,590,50,771127,f,Svitavy,east Bohemia
709,591,1,341229,m,Hl.m. Praha,Prague
710,592,23,251128,m,Cheb,west Bohemia
711,593,48,630816,f,Rychnov nad Kneznou,east Bohemia
712,594,54,621204,m,Brno - mesto,south Moravia
713,595,20,800329,f,Strakonice,south Bohemia
714,596,31,701008,m,Tachov,west Bohemia
