"","account_id","max_credit","avg_credit","min_credit","max_withdrawal","avg_withdrawal","min_withdrawal","avg_amount","avg_balance","max_balance","min_balance","disp_id","client_id","type","birthday","gender","age_range","district_id","name","region"
"23",32,24822,8773.81764705882,12.5,21500,7963.71612903226,14.6,791.301538461538,47728.7030769231,75123.2,700,40,40,"OWNER",570122,"f","50_60",5,"Kolin","central Bohemia"
"24",33,35384,12667.7719512195,21.8,27000,7137.75267175572,14.6,486.909389671362,60322.3671361502,103726,600,41,41,"OWNER",680827,"m","60_70",22,"Domazlice","west Bohemia"
"25",34,47768,17252.2253164557,59.6,36300,7815.08284023669,30,170.067741935484,54321.2443548387,94579.7,600,42,42,"OWNER",350817,"m","30_40",67,"Bruntal","north Moravia"
"26",35,5446,2874.08481012658,57.6,14950,1304.06296296296,14.6,65.5373443983403,21336.8929460581,32520.4,600,43,43,"OWNER",201028,"m","20_30",75,"Prerov","north Moravia"
"27",36,29778,10641.0988372093,74.4,41120,5620.61265822785,14.6,110.974180327869,42214.8659836066,70709.2,500,44,44,"OWNER",770111,"f","70_80",1,"Hl.m. Praha","Prague"
"28",39,6474,3387.00394736842,39.3,5700,1414.44720496894,14.6,125.25864978903,26628.7253164557,36322.3,1100,47,47,"OWNER",340714,"m","30_40",36,"Liberec","north Bohemia"
"29",40,9753,3456.93882352941,15.2,10200,1917.13020134228,14.6,34.9888888888889,24650.1230769231,41560,700,48,48,"OWNER",400209,"m","40_50",64,"Zlin","south Moravia"
"30",42,13659,4900.9,37.3,11000,7266.66666666667,2100,2093,22486.5615384615,38101,800,50,50,"OWNER",780730,"f","70_80",39,"Most","north Bohemia"
"31",43,35862,13048.1380952381,92.4,32800,6699.89649122807,14.6,329.064971751412,60865.8627118644,84913.2,1100,51,51,"OWNER",791202,"f","70_80",36,"Liberec","north Bohemia"
"32",44,4200,2214.21686746988,53.5,6000,1378.55614035088,14.6,135.150253807107,17494.0487309645,29423.9,400,52,52,"OWNER",241212,"m","20_30",32,"Ceska Lipa","north Bohemia"
"33",47,52886,18658.2811764706,100.4,63300,5778.73108614232,9,122.251988636364,47380.0247159091,108508.9,300,55,55,"OWNER",480918,"f","40_50",45,"Jicin","east Bohemia"
"34",48,34221,11660.5666666667,60.7,4800,4800,4800,7545.425,23980.925,34921,700,56,56,"OWNER",600331,"m","60_70",21,"Tabor","south Bohemia"
"35",50,24195,8565.00149253731,45.8,23600,3826.9,14.6,145.623444976077,34392.0894736842,54126.1,900,59,59,"OWNER",570218,"m","50_60",1,"Hl.m. Praha","Prague"
"36",51,30950,11137.5466666667,76.3,19700,6654.9875,14.6,1954.30322580645,42637.2258064516,64131.5,800,60,60,"OWNER",800219,"m","80_90",67,"Bruntal","north Moravia"
"37",53,4277,2131.43333333333,14.5,3750,1528.05128205128,14.6,301.691025641026,17425.2923076923,27049.6,700,62,62,"OWNER",321208,"m","30_40",77,"Vsetin","north Moravia"
"38",54,3421,1721.01463414634,11.9,8070,1159.86666666667,14.6,167.280898876405,15664.0966292135,21631.9,1000,63,63,"OWNER",590604,"m","50_60",4,"Kladno","central Bohemia"
"39",55,4629,2766.84705882353,32.4,4300,1689.84,14.6,677.775,17725.196875,23445,300,64,64,"OWNER",260422,"m","20_30",20,"Strakonice","south Bohemia"
"40",56,21890,7775.88,48,23840,5066.1085106383,14.6,183.761006289308,31509.127672956,54275.3,900,65,65,"OWNER",430527,"f","40_50",50,"Svitavy","east Bohemia"
"41",57,31962,11569.6743589744,44.1,22700,5941.77142857143,14.6,323.791743119266,44657.9422018349,74238.3,700,66,66,"OWNER",511110,"f","50_60",1,"Hl.m. Praha","Prague"
"42",58,5804,3975.03333333333,34.2,700,700,700,3307.17142857143,15329.4571428571,23816,600,67,67,"OWNER",321111,"f","30_40",29,"Rokycany","west Bohemia"
"43",59,21424,7479.42916666667,15.2,22880,3411.0924137931,14.6,202.352534562212,40433.1631336406,65210.7,600,68,68,"OWNER",461214,"m","40_50",43,"Hradec Kralove","east Bohemia"
"44",61,4019,2146.93188405797,48.9,3680,991.694488188976,14.6,113.230102040816,20520.2270408163,31764.7,700,70,70,"OWNER",251222,"m","20_30",70,"Karvina","north Moravia"
"45",62,5079,2688.47356321839,74.4,6500,1499.87310344828,14.6,70.7568965517241,25276.4706896552,36365.9,1100,72,72,"OWNER",230113,"m","20_30",47,"Pardubice","east Bohemia"
"46",63,5024,2812,600,0,0,0,2812,3112,5624,600,73,73,"OWNER",240220,"m","20_30",22,"Domazlice","west Bohemia"
"47",65,36885,12439.68,10.3,17800,9150,500,6271.2,32064.1857142857,61585.3,600,76,76,"OWNER",671001,"f","60_70",36,"Liberec","north Bohemia"
"48",66,67070,24285.172,63.4,60600,15544.7807017544,100,260.756084656085,66326.3825396825,129812.6,400,77,77,"OWNER",560218,"f","50_60",48,"Rychnov nad Kneznou","east Bohemia"
"49",67,62235,21979.5081081081,57.8,41400,8972.18636363636,14.6,189.5152,52523.2448,107069.6,700,78,78,"OWNER",440613,"f","40_50",16,"Jindrichuv Hradec","south Bohemia"
"50",68,53336,18981.9795918367,50.1,38700,5724.06206896552,61,516.123711340206,56670.7556701031,112710,200,79,79,"OWNER",690310,"f","60_70",37,"Litomerice","north Bohemia"
"51",69,43725,2803.45111111111,6,20600,4409.8,14.6,583.989230769231,33649.5630769231,71708,600,80,80,"OWNER",790225,"f","70_80",64,"Zlin","south Moravia"
"52",70,13630,4695.46326530612,24.7,11400,3068.16875,14.6,298.361946902655,33161.1327433628,48087.2,500,81,81,"OWNER",760429,"m","70_80",8,"Mlada Boleslav","central Bohemia"
"53",71,32576,11603.5457142857,69.3,36320,3660.28846153846,14.6,183.123021582734,47027.4276978417,75377.7,700,83,83,"OWNER",781225,"f","70_80",1,"Hl.m. Praha","Prague"
"54",72,49740,18237.0454545455,15.6,62300,12586.6071428571,30,975.8,54186.48,120331.9,1100,85,85,"OWNER",610827,"m","60_70",1,"Hl.m. Praha","Prague"
"55",73,28666.5,10190.5379746835,54.2,18500,5463.95971223022,14.6,209.000458715596,42345.8197247706,67129.5,400,87,87,"OWNER",461117,"f","40_50",72,"Olomouc","north Moravia"
"56",75,18825,6672.44411764706,47.9,16600,3947.00408163265,14.6,403.131325301205,25922.5759036145,49848.3,700,89,89,"OWNER",510505,"f","50_60",1,"Hl.m. Praha","Prague"
"57",76,11720,4290.95,48.3,8800,3574.44615384615,14.6,992.558064516129,29628.4967741935,44113.4,200,90,90,"OWNER",750817,"m","70_80",52,"Usti nad Orlici","east Bohemia"
"58",77,25635,6695.425,46.7,0,0,0,6695.425,19987.925,26781.7,400,91,91,"OWNER",400807,"m","40_50",63,"Vyskov","south Moravia"
"59",78,26217,9242.26666666667,48.1,18800,4903.17070063694,14.6,140.489344262295,31626.9102459016,57055.9,400,92,92,"OWNER",660612,"f","60_70",74,"Ostrava - mesto","north Moravia"
"60",79,4182,2391,600,0,0,0,2391,2691,4782,600,93,93,"OWNER",250216,"m","20_30",3,"Beroun","central Bohemia"
"61",80,3378,1937.65555555556,2.6,5250,1177.26206896552,14.6,324.573214285714,16507.0928571429,20313,900,94,94,"OWNER",470909,"m","40_50",43,"Hradec Kralove","east Bohemia"
"62",81,9300,2303.18666666667,27,3000,1291.92,14.6,1404.41,22692.07,29668.3,1000,96,96,"OWNER",720229,"m","70_80",74,"Ostrava - mesto","north Moravia"
"63",82,47606,16154.6493670886,53.5,57700,11686.5902912621,14.6,398.343406593407,58923.4978021978,161573.6,300,97,97,"OWNER",651128,"m","60_70",26,"Plzen - mesto","west Bohemia"
"64",83,13839,4922.18979591837,35.5,13440,2475.78835978836,14.6,50.3505226480836,25858.6491289199,42434.7,500,98,98,"OWNER",730504,"f","70_80",26,"Plzen - mesto","west Bohemia"
"65",84,48660,16240.296969697,103.7,45600,12913.4857142857,100,1234.67352941176,60193.2088235294,133183.8,1100,100,100,"OWNER",420811,"f","40_50",44,"Chrudim","east Bohemia"
"66",86,3243,1648.76559139785,11.4,8550,762.042603550296,14.6,93.7022900763359,18652.6950381679,26253.8,800,102,102,"OWNER",580910,"f","50_60",54,"Brno - mesto","south Moravia"
"67",88,3403,1606.53076923077,12.9,2268,1075.04,14.6,861.65,11947.2777777778,18536.9,300,105,105,"OWNER",800526,"m","80_90",31,"Tachov","west Bohemia"
"68",90,36459,12859.4870967742,60,25120,4150.4349726776,14.6,154.116734693878,37928.292244898,74106.5,500,107,107,"OWNER",720623,"m","70_80",1,"Hl.m. Praha","Prague"
"69",91,6774,2745.22,22.6,0,0,0,2745.22,8378.66,13726.1,300,108,108,"OWNER",630913,"m","60_70",17,"Pelhrimov","south Bohemia"
"70",93,10782,3946.9125,26.6,8600,3382.64444444444,14.6,1308.272,26357.84,36483.7,500,110,110,"OWNER",670413,"f","60_70",2,"Benesov","central Bohemia"
"71",95,35890,12612.5954545455,6.8,29800,9359.38846153846,14.6,711.104166666667,55405.9010416667,97808.3,200,112,112,"OWNER",350125,"m","30_40",1,"Hl.m. Praha","Prague"
"72",96,66332,23339.0385416667,54.6,67500,6712.03148148148,14.6,156.784523809524,71398.1361904762,129261.8,1100,114,114,"OWNER",690624,"f","60_70",68,"Frydek - Mistek","north Moravia"
"73",99,49346,12461.2658536585,14.6,64900,8207.91538461538,14.6,904.304301075269,50698.4655913978,109950.7,600,120,120,"OWNER",760510,"m","70_80",1,"Hl.m. Praha","Prague"
"74",100,17836.5,5895.91034482759,12.2,25920,3069.94133333333,14.6,221.320675105485,36460.5227848101,63498.2,600,121,121,"OWNER",781029,"f","70_80",41,"Usti nad Labem","north Bohemia"
"75",101,26796,9265.13888888889,48.7,14600,6073.87619047619,14.6,1005.66923076923,40309.9435897436,62457.3,1000,122,122,"OWNER",631113,"f","60_70",35,"Jablonec n. Nisou","north Bohemia"
"76",102,47939,6877.32142857143,57.9,29600,5009.42222222222,14.6,191.028125,35251.055625,96777.1,400,123,123,"OWNER",690212,"m","60_70",11,"Praha - zapad","central Bohemia"
"77",104,3063,1626.97176470588,42.2,7830,748.327044025157,14.6,79.133606557377,18681.9098360656,26349.3,500,125,125,"OWNER",361031,"m","30_40",37,"Litomerice","north Bohemia"
"78",106,26648,9662.14901960784,15.4,18700,5340.48941176471,14.6,285.5,39898.5125,67012,500,128,128,"OWNER",730404,"f","70_80",63,"Vyskov","south Moravia"
"79",107,10600,3610.5935483871,26.1,5640,1579.02291666667,14.6,114.430877192982,28546.0635087719,48159.2,1000,129,129,"OWNER",470531,"f","40_50",64,"Zlin","south Moravia"
"80",108,23554.5,8406.83777777778,78.5,17400,5178.66984126984,14.6,481.958333333333,46850.8601851852,66997.3,800,130,130,"OWNER",420214,"m","40_50",53,"Blansko","south Moravia"
"81",112,6582,3303.20107526882,17.3,20000,1937.09466666667,14.6,68.4506172839506,22356.4259259259,35490.4,200,134,134,"OWNER",320118,"m","30_40",6,"Kutna Hora","central Bohemia"
"82",113,6417,4682.87142857143,95.1,3146,1625.15,14.6,2389.04545454545,21488.3272727273,32685,600,136,136,"OWNER",210126,"f","20_30",55,"Brno - venkov","south Moravia"
"83",115,11498,4060.1362745098,28.5,9900,2690.70935251799,14.6,166.495020746888,29434.9041493776,50977.9,800,138,138,"OWNER",721021,"f","70_80",68,"Frydek - Mistek","north Moravia"
"84",116,34684.5,11793.63,40.4,26700,9011.72727272727,14.6,895.585714285714,42523.169047619,68893.3,800,139,139,"OWNER",590725,"f","50_60",8,"Mlada Boleslav","central Bohemia"
"85",117,4903,2473.0024691358,20.1,11200,1454.54214876033,14.6,120.364356435644,21593.0168316832,31744.5,900,141,141,"OWNER",251102,"m","20_30",31,"Tachov","west Bohemia"
"86",119,32288,11718.6747126437,28.9,21200,5968.7987654321,14.6,211.161847389558,38212.816064257,63811.9,800,143,143,"OWNER",780709,"m","70_80",27,"Plzen - jih","west Bohemia"
"87",120,48187,15416.0090909091,24.1,64800,11389.0746268657,30,695.184426229508,56940.7721311475,131889.2,1100,144,144,"OWNER",581206,"m","50_60",65,"Znojmo","south Moravia"
"88",122,33903,11501.84,6.1,15900,8800,1700,5701.31428571429,29063.3428571429,55711.1,900,146,146,"OWNER",611219,"f","60_70",31,"Tachov","west Bohemia"
"89",123,4843,2539.51264367816,57.1,4200,1617.12283464567,14.6,72.7242990654206,17167.6397196262,27494.4,200,147,147,"OWNER",331102,"f","30_40",21,"Tabor","south Bohemia"
"90",125,42284,13019.025,54.7,25200,12160,100,5613.42941176471,58380.7176470588,107571.6,200,150,150,"OWNER",800927,"f","80_90",2,"Benesov","central Bohemia"
"91",126,49750,11871.0380952381,40.8,32800,8300.56206896552,14.6,171.51,44397.8935,112359,200,151,151,"OWNER",710923,"f","70_80",5,"Kolin","central Bohemia"
"92",127,3364,1695.72535211268,10,5640,1179.83076923077,14.6,80.4438271604938,15854.3364197531,23672.6,600,152,152,"OWNER",451202,"f","40_50",29,"Rokycany","west Bohemia"
"93",128,38879,2059.46551724138,18.5,21900,2058.88130081301,14.6,169.328731343284,36646.8179104478,73884.4,300,153,153,"OWNER",810212,"f","80_90",2,"Benesov","central Bohemia"
"94",131,15534,5335.66428571429,41.6,15300,3603.18181818182,14.6,267.246391752577,24343.6628865979,43338.7,5496,157,157,"OWNER",430709,"f","40_50",52,"Usti nad Orlici","east Bohemia"
"95",132,47976,16852.55,116.9,35100,12715.5333333333,100,2545.41290322581,62778.0903225806,103239,200,158,158,"OWNER",450703,"f","40_50",40,"Teplice","north Bohemia"
"96",135,9200,2499.64851485149,32.8,16600,2022.64230769231,14.6,205.413170731707,33567.4668292683,51182.2,700,162,162,"OWNER",411017,"m","40_50",75,"Prerov","north Moravia"
"97",136,6378,3803.39166666667,71.1,6500,1973.08888888889,14.6,1327.75714285714,22651.0523809524,32061.1,600,163,163,"OWNER",330612,"m","30_40",74,"Ostrava - mesto","north Moravia"
"98",137,34813.5,11753.5818181818,44,27400,9552.7,14.6,2782.51578947368,45519.3578947368,81957.5,900,164,164,"OWNER",620404,"f","60_70",70,"Karvina","north Moravia"
"99",138,11200,2800,100,4700,2057.14285714286,700,675,14975,20700,1100,165,165,"OWNER",681108,"m","60_70",22,"Domazlice","west Bohemia"
"100",140,18888,3804.8125,27.3,4800,3020,900,1179.88461538462,18708.1538461538,29988,300,168,168,"OWNER",761105,"f","70_80",24,"Karlovy Vary","west Bohemia"
"101",141,45248,15953.0095238095,96,32700,8236.39459459459,14.6,521.837931034483,49978.1568965517,89664.9,900,169,169,"OWNER",530912,"m","50_60",38,"Louny","north Bohemia"
"102",142,4555,2405.82584269663,49.7,6200,1420.90588235294,14.6,92.7791111111111,21484.4031111111,28892.5,900,171,171,"OWNER",290625,"m","20_30",51,"Trutnov","east Bohemia"
"103",143,4924,2712,500,0,0,0,2712,2962,5424,500,173,173,"OWNER",181208,"f","10_20",21,"Tabor","south Bohemia"
"104",145,10834,3504.6064516129,28,7100,2693.95555555556,14.6,619.068965517241,30562.9517241379,45474.1,1100,175,175,"OWNER",600713,"m","60_70",31,"Tachov","west Bohemia"
"105",146,6296,3159.91234567901,17,7900,2082.04259259259,14.6,164.509523809524,22261.8380952381,32376.4,500,176,176,"OWNER",290311,"m","20_30",4,"Kladno","central Bohemia"
"106",148,3468,1837.97160493827,2.5,3400,675.122051282051,14.6,62.4163043478261,17008.5413043478,23301.2,500,178,178,"OWNER",601222,"m","60_70",8,"Mlada Boleslav","central Bohemia"
"107",150,46079,2211.01639344262,6,4500,805.053333333333,14.6,930.609433962264,35831.4490566038,98659.1,1900,180,180,"OWNER",820119,"m","80_90",73,"Opava","north Moravia"
"108",151,10700,2542.29191919192,17.9,6200,1494.685,14.6,48.4065637065637,19456.5756756757,34425.3,1000,181,181,"OWNER",670706,"m","60_70",76,"Sumperk","north Moravia"
"109",152,9900,3243.47894736842,43.4,6200,2147.01818181818,14.6,351.017073170732,23612.3414634146,35745.9,1100,183,183,"OWNER",780319,"f","70_80",1,"Hl.m. Praha","Prague"
"110",153,20595,7354.32592592593,35.2,15200,4365.32307692308,14.6,133.689099526066,30057.5232227488,53038.7,400,185,185,"OWNER",540530,"m","50_60",77,"Vsetin","north Moravia"
"111",154,21114,7457.52222222222,30.1,16300,3701.43148148148,14.6,409.761988304094,39375.4374269006,71202.7,900,186,186,"OWNER",610222,"f","60_70",46,"Nachod","east Bohemia"
"112",155,12700,2530.075,12,14560,2077.35483870968,14.6,398.279104477612,26712.0686567164,38531.8,300,187,187,"OWNER",420823,"m","40_50",58,"Jihlava","south Moravia"
"113",158,36822,13231.9976744186,54.7,29800,6984.55833333333,14.6,574.675652173913,48677.0730434783,83033.5,700,190,190,"OWNER",471031,"f","40_50",37,"Litomerice","north Bohemia"
"114",160,17833.5,6152.31222222222,32.4,14720,2805.7908045977,14.6,248.107954545455,39024.8204545455,75680.1,400,193,193,"OWNER",620501,"m","60_70",23,"Cheb","west Bohemia"
"115",161,4419,2224.13770491803,15.7,14450,1143.26796116505,14.6,109.242682926829,19214.6469512195,28434.2,900,194,194,"OWNER",241220,"f","20_30",28,"Plzen - sever","west Bohemia"
"116",162,5188,2745.49350649351,68.2,13750,1830.87083333333,14.6,206.008092485549,25309.0739884393,40015,200,195,195,"OWNER",191118,"m","10_20",60,"Prostejov","south Moravia"
"117",163,6698,3443.54516129032,11.4,9050,1528.05185185185,14.6,111.517375886525,25456.219858156,38806.3,900,197,197,"OWNER",330425,"m","30_40",30,"Sokolov","west Bohemia"
"118",164,12900,5025,200,0,0,0,5025,12750,20100,200,198,198,"OWNER",760714,"m","70_80",60,"Prostejov","south Moravia"
"119",165,6864,3458.96206896552,21.8,14650,1756.95032679739,14.6,133.817916666667,27570.00125,35671.1,1000,199,199,"OWNER",230621,"m","20_30",25,"Klatovy","west Bohemia"
"120",166,4566,3812.8,800,0,0,0,3812.8,9932,19064,800,201,201,"OWNER",300819,"f","30_40",17,"Pelhrimov","south Bohemia"
"121",167,12300,3570,300,200,200,200,3227.27272727273,21809.0909090909,35500,1100,202,202,"OWNER",761121,"f","70_80",29,"Rokycany","west Bohemia"
"122",168,3020,1602.22352941176,42.5,4000,949.392,14.6,83.4047619047619,17230.450952381,23878.8,500,203,203,"OWNER",620610,"m","60_70",31,"Tachov","west Bohemia"
"123",169,19188,6910.8875,11,12000,4139.28292682927,14.6,704.627397260274,42023.6712328767,59837.7,500,205,205,"OWNER",420615,"f","40_50",4,"Kladno","central Bohemia"
"124",170,25599,8573.27142857143,53.4,17500,8081.02222222222,14.6,2056.37391304348,43112.5130434783,67012.8,1000,206,206,"OWNER",630413,"f","60_70",59,"Kromeriz","south Moravia"
"125",171,6003,2861.71333333333,16.3,3680,1642.42222222222,14.6,1172.6625,22870.35,33191.9,500,207,207,"OWNER",320520,"m","30_40",46,"Nachod","east Bohemia"
"126",172,33584,11896.2819277108,7.2,46720,6247.64210526316,14.6,160.637446808511,46176.7778723404,78888.7,700,208,208,"OWNER",400625,"f","40_50",13,"Rakovnik","central Bohemia"
"127",173,25970,9470.5,19.5,16400,4757.25555555556,14.6,933.846666666667,38709.83,57865.3,500,210,210,"OWNER",391130,"m","30_40",66,"Zdar nad Sazavou","south Moravia"
"128",174,3377,1608.41111111111,14.3,0,0,0,1608.41111111111,8433.36666666667,14475.7,900,212,212,"OWNER",750210,"m","70_80",52,"Usti nad Orlici","east Bohemia"
"129",180,34892,12141.875,57.4,28800,8137.85913043478,4.4,182.031794871795,41222.8574358974,82592.4,-2335.4,219,219,"OWNER",640402,"f","60_70",55,"Brno - venkov","south Moravia"
"130",181,16158,5791.31428571429,59.2,10400,3628.92,14.6,1866.21666666667,34781.5041666667,52500.8,200,221,221,"OWNER",770225,"f","70_80",21,"Tabor","south Bohemia"
"131",182,200,200,200,0,0,0,200,200,200,200,222,222,"OWNER",720629,"f","70_80",47,"Pardubice","east Bohemia"
"132",183,21963,7702.52763157895,53.2,19040,3632.28609271523,14.6,162.629515418502,31872.8035242291,54266.7,200,223,223,"OWNER",520227,"f","50_60",43,"Hradec Kralove","east Bohemia"
"133",184,29546,10005.3318181818,29,23500,9521.53333333333,14.6,1218.2425,44791.745,72952,600,224,224,"OWNER",550511,"m","50_60",77,"Vsetin","north Moravia"
"134",186,49065,15406.6381818182,12,58200,11328.8095238095,30,114.378210116732,63391.7910505837,134788.7,700,226,226,"OWNER",420616,"m","40_50",1,"Hl.m. Praha","Prague"
"135",187,4197,2206.27471264368,19.7,4200,1431.13606557377,14.6,83.0014354066986,16542.0440191388,26230,200,227,227,"OWNER",261218,"f","20_30",5,"Kolin","central Bohemia"
"136",188,29120,10402.3714285714,36.2,24800,5320.47272727273,14.6,268.50703125,48675.5828125,82550.1,700,228,228,"OWNER",560316,"f","50_60",54,"Brno - mesto","south Moravia"
"137",190,26334,9142.30425531915,43.7,23500,3190.51056910569,14.6,219.15,33023.5623529412,64866.2,500,230,230,"OWNER",670310,"f","60_70",74,"Ostrava - mesto","north Moravia"
"138",192,5859,3076.84615384615,62.3,13450,1895.99097744361,14.6,124.224107142857,24884.8142857143,39283.8,300,232,232,"OWNER",210617,"f","20_30",55,"Brno - venkov","south Moravia"
"139",193,300,300,300,0,0,0,300,300,300,300,233,233,"OWNER",581203,"f","50_60",69,"Jesenik","north Moravia"
"140",194,11000,2931.6,15,2648,1302.52,14.6,1817.35789473684,27604.6210526316,38893.9,400,235,235,"OWNER",430828,"f","40_50",44,"Chrudim","east Bohemia"
"141",196,19408,6833.9225,54,13200,2308.69209302326,14.6,170.661016949153,40249.1349152542,66396.9,400,238,238,"OWNER",611128,"f","60_70",4,"Kladno","central Bohemia"
"142",197,32577,11638.7361702128,15.6,30080,7241.62972972973,14.6,92.0661157024793,39623.0169421488,75298.8,800,239,239,"OWNER",740910,"f","70_80",1,"Hl.m. Praha","Prague"
"143",198,4299,2293.10547945205,23.2,12450,1163.88852459016,14.6,130.268205128205,21570.3456410256,30570.1,900,240,240,"OWNER",290617,"f","20_30",70,"Karvina","north Moravia"
"144",199,2977,2218,700,0,0,0,2218,3677,6654,700,241,241,"OWNER",590123,"m","50_60",70,"Karvina","north Moravia"
"145",200,12921,4721.16290322581,30.7,11600,3218.54492753623,14.6,539.179389312977,46073.0251908397,75952,900,242,242,"OWNER",610801,"f","60_70",17,"Pelhrimov","south Bohemia"
"146",201,23752,8512.24259259259,47.9,15200,4946.7724137931,14.6,207.743971631206,33277.1191489362,53245.2,600,243,243,"OWNER",540210,"m","50_60",63,"Vyskov","south Moravia"
"147",204,2926,1747.18421052632,40.6,1950,932.11,14.6,373.187179487179,13945.7256410256,18396.9,600,246,246,"OWNER",701228,"f","70_80",67,"Bruntal","north Moravia"
"148",206,10600,2525.12545454545,15.9,5640,1832.22592592593,14.6,366.437614678899,28376.7678899083,42634.7,1100,248,248,"OWNER",691212,"f","60_70",61,"Trebic","south Moravia"
"149",207,9300,2737.63663366337,16.5,6400,1245.50582524272,10,64.9091205211726,25506.6856677524,36471.1,900,250,250,"OWNER",791125,"f","70_80",2,"Benesov","central Bohemia"
"150",208,22494,7675.955,12.1,17800,3251.61111111111,14.6,651.091071428571,35903.4625,53281.3,700,251,251,"OWNER",760303,"f","70_80",54,"Brno - mesto","south Moravia"
"151",209,12200,4149.7,17.8,0,0,0,4149.7,9615.2,16598.8,900,252,252,"OWNER",690901,"f","60_70",37,"Litomerice","north Bohemia"
"152",210,25100,8748.015,48,18700,7228.76470588235,14.6,1407.33243243243,37269.0648648649,56026.7,1000,253,253,"OWNER",470512,"f","40_50",48,"Rychnov nad Kneznou","east Bohemia"
"153",212,74385,26131.5295918367,52.1,62100,12907.3367875648,30,239.772852233677,56432.3618556701,123282.9,200,255,255,"OWNER",511011,"f","50_60",27,"Plzen - jih","west Bohemia"
