"","loan_id","account_id","date.x","amount","duration","payments","status","n_credit","n_withdrawal","max_credit","avg_credit","min_credit","max_withdrawal","avg_withdrawal","min_withdrawal","avg_amount","avg_balance","max_balance","min_balance","disp_id","client_id","type.x","birthday","gender","age_range","age","district_id","frequency","date.y","name","region","hab","m_hab.499","m_hab500.1999","m_hab2000.9999","m_hab.10000","cities","urban_hab","salary","unemployment95","unemployment96","enterpreneurs_per_hab","crimes95","crimes96","avg_monthly_balance","datediff","credit_per_witdrawal","credit_per_payments","crimes96_per_crime95","loanAmount_per_avgAmount","card_id","type.y","issued","avg_amount_by_duration","cover_loan","n_credits_vs_n_withdrawal","avg_credits_vs_avg_withdrawal","time_before_loan","payments_by_duration","avg_monthly_balance_vs_payments","frequency_numeric","region_numeric","gender_numeric","card_numeric"
"11",7121,10364,931110,21924,36,609,1,21,24,21739.5,7551.7380952381,38.3,17200,4562.625,14.6,1090.74444444444,34272.2133333333,60432.4,1100,12446,12754,"OWNER",600820,"m","60_70",38.918,55,"monthly issuance",930117,"Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,32475.7350649351,330290,1.65513012689802,12.4002267573696,1.06422519814157,20.1000336161847,NA,NA,0,39266.8,-51615.0133333333,-3,2989.1130952381,-993,21924,49818.5350649351,2,7,2,0
"12",6077,5270,931122,79608,24,3317,1,22,28,67124,23558.2909090909,110.2,51700,13372.1483870968,14.6,1957.4679245283,69954.5716981132,125825.7,800,6367,6367,"OWNER",700428,"m","70_80",28.9572,44,"monthly issuance",930113,"Chrudim","east Bohemia",105606,77,26,7,2,7,53,8254,2.79,3.76,97,2166,2325,69275.0657142857,230694,1.76174315653146,7.10228848631019,1.07340720221607,40.668865631187,NA,NA,0,46979.2301886792,-37325.8018867925,-6,10186.1425219941,-1009,79608,36646.295902965,2,2,2,0
"13",6228,6034,931201,464520,60,7742,-1,31,28,47757,16035.5580645161,42.4,41000,11073.8378378378,30,1284.85735294118,51760.0161764706,125943.1,200,7291,7291,"OWNER",401202,"f","40_50",58.8798,6,"weekly issuance",930319,"Kutna Hora","central Bohemia",77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,48798.1252910053,529999,1.44805787291961,2.07124232298064,1.18181818181818,361.534297123851,NA,NA,0,77091.4411764706,335668.542647059,3,4961.72022667829,-882,464520,-338630.433532524,3,1,1,0
"14",6356,6701,931208,95400,36,2650,1,22,23,35760,11706.5909090909,23.6,33500,9195.12,30,588.659574468085,41562.3234042553,92354.8,200,8091,8091,"OWNER",710210,"m","70_80",27.979,49,"weekly issuance",930315,"Semily","east Bohemia",75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,41383.9890740741,220998,1.27313084648062,4.41758147512865,1.2789156626506,162.063107673402,NA,NA,0,21191.7446808511,32645.9319148936,-1,2511.47090909091,-893,95400,-32824.2662450749,3,2,2,0
"15",5523,2705,931208,93888,36,2608,1,12,7,15649,7084.7,48,15500,7185.71428571429,100,1827.17894736842,37510.4947368421,52378.2,600,3264,3264,"OWNER",501020,"f","50_60",48.898,63,"issuance after transaction",930705,"Vyskov","south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,35811.6833333333,430188,0.985942345924453,2.71652607361963,0.934699103713188,51.3841296908666,NA,NA,0,65778.4421052632,-9400.93684210526,5,-101.014285714286,-503,93888,7702.12543859649,1,7,1,0
"16",6456,7123,931209,47016,12,3918,1,22,19,47705,13031.0636363636,32.8,51800,11395.5,100,1399.36666666667,60382.0857142857,112901.6,200,8598,8598,"OWNER",571231,"f","50_60",41.8769,64,"issuance after transaction",930414,"Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,51501.2518518518,359978,1.14352714987176,3.32594783980695,0.951159678858162,33.5980562635478,NA,NA,0,16792.4,-30158.4857142857,3,1635.56363636364,-795,47016,21277.6518518518,1,7,1,0
"17",7104,10320,931213,259740,60,4329,1,10,7,38960,14443.35,75.3,21500,11030.5714285714,1300,3954.08823529412,45198.1529411765,79633.5,800,12387,12695,"OWNER",790316,"m","70_80",19.9684,68,"monthly issuance",930711,"Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,39381.5888888889,140897,1.30939272670759,3.33641718641719,1.04695002667615,65.6889741815991,NA,NA,0,237245.294117647,-22703.4470588235,3,3412.77857142857,-502,259740,16886.8830065359,2,4,2,0
"18",6820,9034,931216,38148,12,3179,1,18,10,32706,8067.86111111111,9.9,20600,8863.23636363636,14.6,1645.72068965517,37462.0931034483,62324.6,900,10818,11126,"OWNER",650122,"f","60_70",33.9878,1,"monthly issuance",930628,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,32929.7948979592,281094,0.910261306379182,2.53786131208277,1.15675152024464,23.1801181329215,NA,NA,0,19748.6482758621,-19062.7413793103,8,-795.375252525253,-588,38148,14530.4431738213,2,5,1,0
"19",6876,9236,931221,86616,12,7218,1,12,3,17859,4879.43333333333,29.8,11100,7100,2200,2483.54666666667,25714.0466666667,48353.1,800,11064,11372,"OWNER",610928,"m","60_70",37.9072,11,"monthly issuance",930818,"Praha - zapad","central Bohemia",75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,23685.845,320293,0.687244131455399,0.67600905144546,1.01553956834532,34.8759301214392,NA,NA,0,29802.56,31099.3933333333,9,-2220.56666666667,-403,86616,-33127.595,2,1,2,0
"20",7097,10266,931223,75624,24,3151,-1,15,8,49887,11677,50.5,31100,16650,3200,1824.13043478261,50009.9086956522,89754.8,400,12317,12625,"OWNER",581207,"m","50_60",40.8793,54,"monthly issuance",930610,"Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,1.6,1.96,140,18721,18696,48161.1228571429,350016,0.701321321321321,3.70580768010156,0.998664601249933,41.4575616732213,NA,NA,0,43779.1304347826,-18165.0391304348,7,-4973,-613,75624,16316.2532919255,2,7,2,0
"21",4959,2,940105,80952,24,3373,1,22,29,30354,10394.7863636364,13.5,22400,6276.39375,14.6,515.568518518519,32590.6240740741,67529.6,1100,2,2,"OWNER",450204,"m","40_50",53.9796,1,"monthly issuance",930226,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,31657.2392496392,489901,1.65617180465078,3.08176293022128,1.15675152024464,157.015017582173,NA,NA,0,12373.6444444444,35987.7314814815,-7,4118.39261363636,-9879,80952,-36921.1163059163,2,5,2,0
"22",6499,7401,940105,80952,24,3373,1,22,29,30354,10395.1772727273,13.5,22400,6248.26875,14.6,532.394444444444,33312.5388888889,67529.6,1100,8865,9173,"OWNER",450204,"m","40_50",53.9796,1,"monthly issuance",930226,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,32047.5985569986,489901,1.6636892055463,3.08187882381479,1.15675152024464,152.052676065156,NA,NA,0,12777.4666666667,34861.9944444444,-7,4146.90852272727,-9879,80952,-36126.9347763348,2,5,2,0
"23",5479,2486,940110,24516,12,2043,1,31,33,49536,20344.6774193548,12.5,59200,13143.5428571429,14.6,1077.48219178082,55582.2260273973,125254.2,200,3001,3001,"OWNER",581007,"m","50_60",40.8993,1,"monthly issuance",930227,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,47671.8481529582,359103,1.54788382709906,9.95823662229801,1.15675152024464,22.7530442609737,NA,NA,0,12929.7863013699,-43996.0123287671,-2,7201.13456221198,-9883,24516,36085.634454328,2,5,2,0
"24",5170,1071,940120,253200,60,4220,1,21,17,46304,13560.8904761905,69.5,42600,10181.4,30,1979.28536585366,47302.5463414634,104417.9,800,1286,1286,"OWNER",500313,"f","50_60",48.9687,68,"weekly issuance",930510,"Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,46825.1695767196,439807,1.33192787594933,3.21348115549537,1.04695002667615,127.924959365723,NA,NA,0,118757.12195122,87140.3317073171,4,3379.49047619048,-9610,253200,-87617.7084720609,3,4,1,0
"25",6721,8475,940121,21072,24,878,1,13,2,9738,3012.85384615385,48.5,5700,4150,2600,2057.80666666667,21575.6866666667,33467,1100,10151,10459,"OWNER",640809,"f","60_70",34.9191,4,"monthly issuance",930908,"Kladno","central Bohemia",149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,19563.465,299312,0.725988878591288,3.4314964079201,1.12356979405034,10.2400290276702,NA,NA,0,49387.36,-49891.0466666667,11,-1137.14615384615,-9213,21072,47878.825,2,1,1,0
"26",7259,11111,940131,108144,36,3004,1,23,32,45740,16822.8260869565,35.7,60600,11406.3625,14.6,398.570909090909,54652.8981818182,123863.4,900,13349,13657,"OWNER",630512,"f","60_70",35.9488,1,"monthly issuance",930520,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,49101.3046873497,309619,1.4748633569165,5.60014183986569,1.15675152024464,271.329385896886,NA,NA,0,14348.5527272727,39142.5490909091,-9,5416.46358695652,-9611,108144,-44694.1425853776,2,5,1,0
"27",5285,1603,940206,78936,12,6578,1,24,27,11416,3975.20833333333,24,6300,2622.37037037037,14.6,482.372549019608,25900.3196078431,40560.3,900,1944,1944,"OWNER",570122,"f","50_60",41.9878,1,"monthly issuance",930509,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,25773.6537460317,370084,1.51588363651771,0.604318688557819,1.15675152024464,163.641152798667,NA,NA,0,5788.47058823529,47247.2098039216,-3,1352.83796296296,-9697,78936,-47373.875665733,2,5,1,0
"28",5189,1166,940207,149040,48,3105,1,20,32,27946,9496.58,31.1,15900,5026.41176470588,14.6,352.474074074074,36845.5888888889,62441.6,200,1404,1404,"OWNER",681220,"f","60_70",30.878,11,"monthly issuance",930421,"Praha - zapad","central Bohemia",75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,34581.843015873,258987,1.88933586115695,3.05847987117552,1.01553956834532,422.839609952925,NA,NA,0,16918.7555555556,95275.6555555556,-12,4470.16823529412,-9786,149040,-97539.4014285714,2,1,1,0
"29",6650,8073,940217,49320,12,4110,-1,17,30,45628,15663.0352941176,166.4,62700,7831.1875,100,319.869387755102,46576.2775510204,126833,900,9665,9973,"OWNER",451003,"f","40_50",53.8997,24,"issuance after transaction",930903,"Karlovy Vary","west Bohemia",122603,25,21,6,2,8,80,8991,1.39,2.01,128,5198,5273,42620.3379124579,489214,2.00008431596327,3.81095749248605,1.01442862639477,154.187933850551,NA,NA,0,3838.43265306122,-1094.71020408163,-13,7831.84779411765,-9314,49320,-2861.22943448086,1,8,1,0
"30",7226,10940,940223,197748,36,5493,1,11,5,36216,12363.1454545455,68.3,25100,18540,5700,2705.9125,44735.43125,74413.6,300,13139,13447,"OWNER",700505,"f","70_80",28.9495,50,"monthly issuance",930913,"Svitavy","east Bohemia",102609,75,33,2,3,6,52,8187,4.83,5.45,94,2123,2134,39798.1611111111,239718,0.66683632440914,2.25070916703904,1.00518134715026,73.0799684025259,NA,NA,0,97412.85,55599.71875,6,-6176.85454545455,-9310,197748,-60536.9888888889,2,2,1,0
"31",6087,5313,940227,300660,60,5011,1,24,41,44519,14927.625,39.4,48900,7722.47619047619,14.6,513.924242424242,45854.8909090909,135175.2,800,6417,6417,"OWNER",500107,"m","50_60",48.9893,40,"monthly issuance",930429,"Teplice","north Bohemia",128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,38059.6185491276,440120,1.93301016821646,2.97897126322091,0.988919268959563,585.02786049117,NA,NA,0,30835.4545454545,223969.654545455,-17,7205.14880952381,-9798,300660,-231764.926905418,2,3,2,0
"32",7262,11135,940301,182628,36,5073,1,10,3,23204,7666.09,67.1,12600,10333.3333333333,8600,3512.37692307692,33229.1076923077,52246,500,13379,13687,"OWNER",590523,"m","50_60",39.9477,75,"monthly issuance",931010,"Prerov","north Moravia",138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,28865.2266666667,349778,0.741879677419355,1.51115513502858,1.10878661087866,51.9955585632346,NA,NA,0,126445.569230769,22953.3230769231,7,-2667.24333333333,-9291,182628,-27317.2041025641,2,4,2,0
"33",5519,2694,940308,91632,12,7636,1,27,43,26378,8784.24444444444,54.1,18300,4746.80930232558,14.6,472.311428571429,40976.9428571429,64577.8,700,3251,3251,"OWNER",621228,"f","60_70",36.8772,7,"monthly issuance",930308,"Melnik","central Bohemia",94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,40144.6444139194,319080,1.85055768727444,1.1503725045108,1.12986710188855,194.007585793877,NA,NA,0,5667.73714285714,44987.32,-16,4037.43514211886,-10000,91632,-45819.6184432234,2,1,1,0
"34",6577,7753,940311,51696,24,2154,1,44,50,46889,16546.9522727273,119.6,59600,11894.2,14.6,374.532352941176,58226.5049019608,124339.4,600,9285,9593,"OWNER",680128,"f","60_70",30.9872,74,"monthly issuance",930208,"Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,56046.6511827458,260183,1.39117824424739,7.68196484342028,0.9768395272069,138.02812919641,1005,"classic",931107,8988.77647058824,-15519.281372549,-6,4652.75227272727,-10103,51696,13339.4276533341,2,4,1,1
"35",6509,7445,940315,55368,24,2307,1,47,39,48139,9204.86382978723,27.2,34100,8239.49019607843,14.6,126.679591836735,46061.3193877551,113350.7,200,8918,9226,"OWNER",391225,"f","30_40",59.8775,64,"monthly issuance",930318,"Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,41119.284137337,549090,1.1171642432645,3.98997131763643,0.951159678858162,437.071190372626,NA,NA,0,3040.31020408163,6266.37040816327,8,965.373633708803,-9997,55368,-11208.4056585813,2,7,1,0
"36",6520,7485,940316,91200,24,3800,1,18,16,34198,10908.2777777778,16,22100,9090.76666666667,14.6,908.755555555556,32558.5333333333,76736.9,700,8965,9273,"OWNER",550826,"f","50_60",43.9174,39,"monthly issuance",930728,"Most","north Bohemia",119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,31294.3315696649,389490,1.19992935444878,2.87059941520468,0.958762886597938,100.357020589818,NA,NA,0,21810.1333333333,36831.3333333333,2,1817.51111111111,-9588,91200,-38095.5350970018,2,3,1,0
"37",6699,8330,940330,7656,24,319,1,36,45,31677,7746.08888888889,9.2,21700,5389.02666666667,14.6,448.802469135802,46444.6395061728,73069.1,600,9979,10287,"OWNER",620903,"f","60_70",36.9097,48,"monthly issuance",930328,"Rychnov nad Kneznou","east Bohemia",78955,50,24,8,1,9,59,9060,1.78,2.44,124,1655,1717,42343.8083298112,319427,1.43738180714555,24.2824103099965,1.03746223564955,17.0587296784309,NA,NA,0,10771.2592592593,-49559.8987654321,-9,2357.06222222222,-10002,7656,45459.0675890705,2,2,1,0
"38",6336,6555,940331,212400,36,5900,1,31,37,48828,13977.9419354839,71.5,42900,9227.375,30,904.523943661972,51034.361971831,133215.2,300,7914,7914,"OWNER",661024,"f","60_70",32.8976,38,"weekly issuance",930305,"Louny","north Bohemia",85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,49550.1106410256,279307,1.51483406011828,2.36914270092947,1.06370147003392,234.819654568896,NA,NA,0,32562.861971831,128802.776056338,-6,4750.56693548387,-10026,212400,-130287.027387143,3,3,1,0
"39",7055,10079,940406,167100,60,2785,1,33,43,49980,17751.0666666667,91.4,49200,11879.8913043478,14.6,497.59746835443,63707.6265822785,143605.7,1100,12088,12396,"OWNER",700117,"f","70_80",28.9883,62,"monthly issuance",930506,"Uherske Hradiste","south Moravia",145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,60786.6320210862,240289,1.4942112020983,6.37381208856972,1.06877528503126,335.813605629073,NA,NA,0,29855.8481012658,73536.5253164557,-10,5871.17536231884,-9900,167100,-76457.519877648,2,7,1,0
"40",6103,5385,940407,149340,60,2489,1,23,32,22404,7546.75217391304,32.2,13200,4546.57575757576,30,420.326785714286,29069.1160714286,53214,500,6499,6499,"OWNER",630201,"m","60_70",35.9799,44,"weekly issuance",930521,"Chrudim","east Bohemia",105606,77,26,7,2,7,53,8254,2.79,3.76,97,2166,2325,28121.8242424242,310206,1.65987604217047,3.03204185372159,1.07340720221607,355.29498731854,NA,NA,0,25219.6071428571,95051.2767857143,-9,3000.17641633729,-9886,149340,-95998.5686147186,3,2,2,0
"41",6202,5891,940418,65184,12,5432,1,30,48,48891,17495.9166666667,21.6,39900,8786.19230769231,14.6,829.213414634146,47426.55,102410.3,900,7127,7127,"OWNER",570929,"m","50_60",41.9071,54,"monthly issuance",930125,"Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,1.6,1.96,140,18721,18696,46968.0268452381,369489,1.99129680457244,3.22089776632302,0.998664601249933,78.609437389239,NA,NA,0,9950.56097560976,7806.88902439024,-18,8709.72435897436,-10293,65184,-8265.41217915214,2,7,2,0
"42",7066,10131,940502,215388,36,5983,-1,10,5,49757,6116.29,18,11400,6100,2600,2044.19333333333,32702.7266666667,50757,1000,12156,12464,"OWNER",591217,"m","50_60",39.8783,1,"monthly issuance",931127,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,28125.0666666667,349285,1.00267049180328,1.02227812134381,1.15675152024464,105.365767751909,NA,NA,0,73590.96,109094.313333333,5,16.29,-9375,215388,-113671.973333333,2,5,2,0
"43",6696,8321,940509,89040,60,1484,1,44,43,15843,3735.12272727273,25.2,11400,3140.4511627907,14.6,336.850574712644,30045.4,46550.2,800,9967,10275,"OWNER",700125,"f","70_80",28.9875,77,"monthly issuance",930412,"Vsetin","north Moravia",148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,30501.8510871272,240384,1.18935864105385,2.51692906150453,1.03757225433526,264.330853750085,NA,NA,0,20211.0344827586,38783.5655172414,1,594.67156448203,-10097,89040,-38327.1144301142,2,4,1,0
"44",6072,5256,940510,193968,36,5388,1,20,9,41783,14309,52.4,54200,22822.2222222222,100,2785.51724137931,63579.2172413793,120567.3,800,6349,6349,"OWNER",721203,"m","70_80",26.8797,72,"issuance after transaction",931025,"Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,43848.4570075758,219307,0.626976630963973,2.65571640682999,0.9520264681555,69.6344639762317,NA,NA,0,100278.620689655,30110.1620689655,11,-8513.22222222222,-9485,193968,-49840.9223027691,1,4,2,0
"45",5130,813,940511,24312,12,2026,1,37,36,18231,5601.63243243243,35.5,24322,4360.94146341463,14.6,364.894871794872,29380.8397435897,48277.9,1100,976,976,"OWNER",551119,"f","50_60",43.8881,16,"monthly issuance",930210,"Jindrichuv Hradec","south Bohemia",93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,29046.8002083333,389392,1.28450071605555,2.76487286892025,1.02081109925293,66.6274093697517,NA,NA,0,4378.73846153846,-9447.5782051282,1,1240.6909690178,-10301,24312,9113.5386698718,2,6,1,0
"46",5568,2933,940517,272520,60,4542,1,34,45,42400,13755.7529411765,13.3,56700,8753.708,14.6,357.264285714286,44602.6416666667,121891.4,1100,3542,3542,"OWNER",390902,"m","30_40",59.9098,10,"monthly issuance",930618,"Praha - vychod","central Bohemia",92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,38933.8913558201,549615,1.57142012746786,3.02856735825109,1.13280839895013,762.796649139293,NA,NA,0,21435.8571428571,206481.501190476,-11,5002.04494117647,-9899,272520,-212150.251501323,2,1,2,0
"47",6678,8173,940520,80340,12,6695,1,22,28,61260,20306.6227272727,147.8,39200,11913.4333333333,14.6,1718.12884615385,61531.5903846154,122523.5,1100,9787,10095,"OWNER",760206,"f","70_80",22.9794,11,"monthly issuance",930705,"Praha - zapad","central Bohemia",75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,59734.8846969697,180314,1.70451474055389,3.0331027225202,1.01553956834532,46.7601717879581,NA,NA,0,20617.5461538462,-1809.13653846154,-6,8393.18939393939,-9815,80340,12.4308508158501,2,1,1,0
"48",6998,9833,940521,97632,12,8136,1,20,43,73224,25763.21,46.7,54700,10531.8666666667,14.6,635.849230769231,53379.1276923077,119900.1,1100,11794,12102,"OWNER",680907,"f","60_70",30.9093,20,"monthly issuance",930724,"Strakonice","south Bohemia",70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,52205.8420690421,259614,2.44621497930092,3.16656956735497,0.986564299424184,153.545833313171,NA,NA,0,7630.19076923077,36622.6815384615,-23,15231.3433333333,-9797,97632,-37795.9671617272,2,6,1,0
"49",6580,7769,940522,196080,48,4085,1,20,24,46888,14476.62,123.9,35700,7506.48148148148,14.6,1848.02978723404,49143.9659574468,97457.4,900,9303,9611,"OWNER",580527,"m","50_60",40.9473,23,"monthly issuance",931003,"Cheb","west Bohemia",87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,50421.4448710317,359995,1.9285493524115,3.5438482252142,1.11080236193123,106.102185881687,NA,NA,0,88705.429787234,58230.6042553192,-4,6970.13851851852,-9519,196080,-56953.1253417342,2,8,2,0
"50",6316,6473,940526,76908,12,6409,-1,42,52,47434,15876.1357142857,17,52200,10865.1533333333,14.6,145.96568627451,52890.4039215686,126002.8,1100,7815,7815,"OWNER",460119,"f","40_50",52.9881,12,"monthly issuance",930126,"Pribram","central Bohemia",107870,84,29,6,1,6,58,8754,3.83,4.31,137,3804,3868,49515.7250171887,480407,1.46119757606909,2.47716269531685,1.01682439537329,526.890956107062,NA,NA,0,1751.58823529412,22266.0078431373,-10,5010.98238095238,-10400,76908,-25640.6867475172,2,1,1,0
